session_id,gameType,key,finger,expectedFinger,responsetime,correct,correct_finger
6a13e0e5f7784aa3918a34a9,piano_finger,K,rightRing,rightRing,1.6,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,D,leftMiddle,leftMiddle,0.9,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,A,leftPinky,leftPinky,0.8,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,K,rightRing,rightRing,0.9,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,D,leftMiddle,leftMiddle,0.9,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,J,rightMiddle,rightMiddle,0.8,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,none,none,leftIndex,-1.0,0,False
6a13e0e5f7784aa3918a34a9,piano_finger,F,leftIndex,leftIndex,1.0,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,J,rightMiddle,rightMiddle,0.9,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,D,leftMiddle,leftMiddle,0.9,1,True
6a13e0e5f7784aa3918a34a9,piano_finger,J,rightMiddle,rightRing,1.1,-1,False
6a13e142f7784aa3918a34ea,piano_finger,A,leftPinky,leftPinky,1.4,1,True
6a13e142f7784aa3918a34ea,piano_finger,J,rightMiddle,rightMiddle,0.7,1,True
6a13e142f7784aa3918a34ea,piano_finger,A,leftPinky,leftPinky,0.8,1,True
6a13e142f7784aa3918a34ea,piano_finger,K,rightRing,rightMiddle,0.5,-1,False
6a13e142f7784aa3918a34ea,piano_finger,L,rightPinky,rightPinky,1.3,1,True
6a13e142f7784aa3918a34ea,piano_finger,none,none,leftPinky,-1.0,0,False
6a13e142f7784aa3918a34ea,piano_finger,K,rightRing,rightRing,1.5,1,True
6a13e142f7784aa3918a34ea,piano_finger,none,none,leftRing,-1.0,0,False
6a13e142f7784aa3918a34ea,piano_finger,S,leftRing,leftRing,1.0,1,True
6a13e142f7784aa3918a34ea,piano_finger,none,none,rightRing,-1.0,0,False
6a13e142f7784aa3918a34ea,piano_finger,D,leftMiddle,leftMiddle,0.9,1,True
6a13e142f7784aa3918a34ea,piano_finger,none,none,leftIndex,-1.0,0,False
6a13e142f7784aa3918a34ea,piano_finger,F,leftIndex,leftIndex,0.7,1,True
6a13e142f7784aa3918a34ea,piano_finger,D,leftMiddle,leftMiddle,0.8,1,True
6a13e142f7784aa3918a34ea,piano_finger,none,none,rightPinky,-1.0,0,False
6a13e142f7784aa3918a34ea,piano_finger,J,rightMiddle,rightMiddle,1.0,1,True
6a13e142f7784aa3918a34ea,piano_finger,D,leftMiddle,leftMiddle,1.0,1,True
6a13e142f7784aa3918a34ea,piano_finger,none,none,rightMiddle,-1.0,0,False
6a13e142f7784aa3918a34ea,piano_finger,S,leftRing,leftRing,0.9,1,True
6a13ed7f44d197e8daee1bab,piano_finger,J,rightMiddle,rightMiddle,0.8,1,True
6a14219e63a8dbfaa4a19f50,piano_finger,F,leftIndex,leftPinky,0.6,-1,False
6a14219e63a8dbfaa4a19f50,piano_finger,D,leftMiddle,leftMiddle,0.2,1,True
6a14219e63a8dbfaa4a19f50,piano_finger,K,rightRing,leftPinky,0.1,-1,False
6a14219e63a8dbfaa4a19f50,piano_finger,J,rightMiddle,rightMiddle,0.7,1,True
6a14219e63a8dbfaa4a19f50,piano_finger,L,rightPinky,rightPinky,0.9,1,True
