session_id,gameType,fromKey,toKey,distance,dx,dy,fromX,fromY,toX,toY,direction
6a13e0e5f7784aa3918a34a9,piano_finger,K,D,620,-620,0,1027.5,329.5,407.5,329.5,left
6a13e0e5f7784aa3918a34a9,piano_finger,D,A,310,-310,0,407.5,329.5,97.5,329.5,left
6a13e0e5f7784aa3918a34a9,piano_finger,A,K,930,930,0,97.5,329.5,1027.5,329.5,right
6a13e0e5f7784aa3918a34a9,piano_finger,K,D,620,-620,0,1027.5,329.5,407.5,329.5,left
6a13e0e5f7784aa3918a34a9,piano_finger,D,J,465,465,0,407.5,329.5,872.5,329.5,right
6a13e0e5f7784aa3918a34a9,piano_finger,J,F,310,-310,0,872.5,329.5,562.5,329.5,left
6a13e0e5f7784aa3918a34a9,piano_finger,F,J,310,310,0,562.5,329.5,872.5,329.5,right
6a13e0e5f7784aa3918a34a9,piano_finger,J,D,465,-465,0,872.5,329.5,407.5,329.5,left
6a13e0e5f7784aa3918a34a9,piano_finger,D,J,465,465,0,407.5,329.5,872.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,A,J,775,775,0,97.5,329.5,872.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,J,A,775,-775,0,872.5,329.5,97.5,329.5,left
6a13e142f7784aa3918a34ea,piano_finger,A,K,930,930,0,97.5,329.5,1027.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,K,L,155,155,0,1027.5,329.5,1182.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,L,K,155,-155,0,1182.5,329.5,1027.5,329.5,left
6a13e142f7784aa3918a34ea,piano_finger,K,S,775,-775,0,1027.5,329.5,252.5,329.5,left
6a13e142f7784aa3918a34ea,piano_finger,S,D,155,155,0,252.5,329.5,407.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,D,F,155,155,0,407.5,329.5,562.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,F,D,155,-155,0,562.5,329.5,407.5,329.5,left
6a13e142f7784aa3918a34ea,piano_finger,D,J,465,465,0,407.5,329.5,872.5,329.5,right
6a13e142f7784aa3918a34ea,piano_finger,J,D,465,-465,0,872.5,329.5,407.5,329.5,left
6a13e142f7784aa3918a34ea,piano_finger,D,S,155,-155,0,407.5,329.5,252.5,329.5,left
6a13e32844d197e8daee162d,piano_ankle,D,S,310,-310,0,795.0,341.5,485.0,341.5,left
6a13e32844d197e8daee162d,piano_ankle,S,A,310,-310,0,485.0,341.5,175.0,341.5,left
6a13e32844d197e8daee162d,piano_ankle,A,F,930,930,0,175.0,341.5,1105.0,341.5,right
6a13e32844d197e8daee162d,piano_ankle,F,F,0,0,0,1105.0,341.5,1105.0,341.5,same
6a13e32844d197e8daee162d,piano_ankle,F,D,310,-310,0,1105.0,341.5,795.0,341.5,left
6a13e32844d197e8daee162d,piano_ankle,D,S,310,-310,0,795.0,341.5,485.0,341.5,left
6a13e32844d197e8daee162d,piano_ankle,S,D,310,310,0,485.0,341.5,795.0,341.5,right
6a14219e63a8dbfaa4a19f50,piano_finger,F,D,155,-155,0,562.5,329.5,407.5,329.5,left
6a14219e63a8dbfaa4a19f50,piano_finger,D,K,620,620,0,407.5,329.5,1027.5,329.5,right
6a14219e63a8dbfaa4a19f50,piano_finger,K,J,155,-155,0,1027.5,329.5,872.5,329.5,left
6a14219e63a8dbfaa4a19f50,piano_finger,J,L,310,310,0,872.5,329.5,1182.5,329.5,right
